artist,song,year,genre,lyrics,popularity
*NSYNC,Bye Bye Bye,2000,pop,"[Intro: 'N Sync]
Hey, hey
Bye, bye, bye
Bye, bye
Bye, bye

[Verse 1: J.C. Chasez]
I'm doing this tonight
You're probably gonna start a fight
I know this can't be right, hey baby, come on
I loved you endlessly
And you weren't there for me
So now it's time to leave and make it alone

[Pre-Chorus: Justin Timberlake]
I know that I can't take no more, it ain't no lie
I wanna see you out that door
Baby, bye, bye, bye

[Chorus]
(Bye bye) Don't wanna be a fool for you
Just another player in your game for two
You may hate me but it ain't no lie
Baby, bye, bye, bye
(Bye bye) Don't really wanna make it tough
I just wanna tell you that I had enough
Might sound crazy but it ain't no lie
Baby, bye, bye, bye
[Verse 2: Justin Timberlake]
<",84
Eminem,The Real Slim Shady,2000,hip hop,"[Intro]
May I have your attention, please?
May I have your attention, please?
Will the real Slim Shady please stand up?
I repeat, will the real Slim Shady please stand up?
We're gonna have a problem here...

[Verse 1]
Y'all act like you never seen a white person before
Jaws all on the floor like Pam like Tommy just burst in the door
And started whoopin' her ass worse than before
They first were divorced, suin' her over furniture (Agh!)
It's the return of the ""Ah, wait, no way, you're kidding
He didn't just say what I think he did, did he?""
And Dr. Dre said… nothing, you idiots!
Dr. Dre's dead, he's locked in my basement (Ha ha!)
Feminist women love Eminem
""Chicka, chicka, chicka, Slim Shady, I'm sick of him
Look at him, walkin' around, grabbin' his you-know-what
Flippin' the you-know-who,"" ""Yeah, but he's so cute though.""
Yeah, I probably got a couple of screws up in my head loose
But no worse than what's goin' on in your parents' bedrooms
Sometimes I wanna get on TV and just let loose
But can't, but it's cool for Tom Green to hump a dead moose
""My bum is on your lips, my bum is on your lips""
And if I'm lucky, you might just give it a little kiss
And that's the message that we deliver to little kids
And expect them not to know what a woman's clitoris is
Of course, they're gonna know what intercourse is
By the time they hit fourth grade
They've got the Discovery Channel, don't they?
We ain't nothin' but mammals—well, some of us, cannibals
Who cut other people open like cantaloupes
But if we can hump dead animals and antelopes
Then there's no reason that a man and another man can't elope
But if you feel like I feel, I got the antidote
Women, wave your pantyhose, sing the chorus, and it goes—
[Chorus]
I'm Slim Shady, yes I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?
'Cause I'm Slim Shady, yes I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?

[Verse 2]
Will Smith don't gotta cuss in his raps to sell records (Nope)
Well, I do, so fuck him and fuck you too!
You think I give a damn about a Grammy?
Half of you critics can't even stomach me, let alone stand me
""But Slim, what if you win, wouldn't it be weird?""
Why, so you guys could just lie to get me here?
So you can sit me here next to Britney Spears?
Shit, Christina Aguilera better switch me chairs
So I can sit next to Carson Daly and Fred Durst
And hear 'em argue over who she gave head to first
Little bitch put me on blast on MTV
""Yeah, he's cute, but I think he's married to Kim, hee-hee.""
I should download her audio on MP3
And show the whole world how you gave Eminem VD (Agh!)
I'm sick of you little girl and boy groups
All you do is annoy me, so I have been sent here to destroy you
And there's a million of us just like me
Who cuss like me, who just don't give a fuck like me
Who dress like me; walk, talk and act like me
And just might be the next best thing, but not quite me
[Chorus]
'Cause I'm Slim Shady, yes I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?
'Cause I'm Slim Shady, yes I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?

[Verse 3]
I'm like a head trip to listen to, ‘cause I'm only givin' you
Things you joke about with your friends inside your livin' room
The only difference is I got the balls to say it in front of y'all
And I don't gotta be false or sugarcoat it at all
I just get on the mic and spit it
And whether you like to admit it, I just shit it
Better than 90% of you rappers out can
Then you wonder: ""How can
Kids eat up these albums like Valiums?""
It's funny, ‘cause at the rate, I'm going, when I'm 30
I'll be the only person in the nursing home flirting
Pinching nurse's asses when I'm jacking off with Jergens
And I'm jerking, but this whole bag of Viagra isn't working
And every single person is a Slim Shady lurking
He could be working at Burger King, spittin' on your onion rings
Or in the parking lot, circling, screaming, ""I don't give a fuck!""
With his windows down and his system up
So will the real Shady please stand up
And put one of those fingers on each hand up?
And be proud to be outta your mind and outta control
And one more time, loud as you can, how does it go?
[Chorus]
I'm Slim Shady, yes I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?
'Cause I'm Slim Shady, yes I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?
'Cause I'm Slim Shady, yes I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?
'Cause I'm Slim Shady, yes I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?

[Outro]
Ha ha, I guess there’s a Slim Shady in all of us
Fuck it, let’s all stand up!

[Produced by Dr. Dre &amp; Mel-Man]",88
Robbie Williams,Rock DJ,2000,"pop, rock","[Verse 1]
Me with the floor show kicking with your torso
Boys getting high and the girls even more so
Wave your hands if your not with the man
Can I kick it? (Yes you can)
I got (funk), you got (soul)
We got everybody
I've got the gift gonna stick it in the goal
It's time to move your body

[Pre-Chorus]
Babylon back in business
Can I get a witness?
Every girl, every man
Houston, do you hear me?
Ground control, can you feel me?
Need permission to land

[Chorus]
I don't wanna rock DJ
But you're making me feel so nice
When's it gonna stop DJ
Cause you're keeping me up all night

[Verse 2]
Singing in the classes, music for your masses
Give no head no backstage passes
Have a proper giggle I'll be quite polite
But when I rock the mic, I rock the mic (Right)
You got no love then you're with the wrong man
It's time to move your body
If you can't get a girl but your best friend can
It's time to move your body
[Pre-Chorus]
I don't wanna be sleazy
Baby just tease me
Got no family planned
Houston, do you hear me?
Ground control, can you feel me?
Need permission to land

[Chorus]
I don't wanna rock DJ
But you're making me feel so nice
When's it gonna stop DJ
Cause you're keeping me up all night

I don't wanna rock DJ
But you're making me feel so nice
When's it gonna stop DJ
Cause you're keeping me up all night

[Bridge]
Pimping ain't easy
Most of them fleece me
Every night
Pimping ain't easy
But if you're selling it
It's alright
Come on

[Chorus]
I don't wanna rock DJ
But you're making me feel so nice
When's it gonna stop DJ
Cause you're keeping me up all night

I don't wanna rock DJ
But you're making me feel so nice
When's it gonna stop DJ
Cause you're keeping me up all night",59
Sting,Desert Rose,1999,"rock, pop","[Intro: Cheb Mami]
Hathe mada tawila
Wa ana nahos ana wahala ghzalti
Wa ana nahos ana wahala ghzalti
Wa ana nahos ana wahala ghzalti

[Verse 1: Sting]
I dream of rain
I dream of gardens in the desert sand
I wake in vain
I dream of love as time runs through my hand

I dream of fire
Those dreams are tied to a horse that will never tire
And in the flames
Her shadows play in the shape of a man's desire

This desert rose
Each of her veils, a secret promise
This desert flower
No sweet perfume ever tortured me more than this

And as she turns
This way she moves in the logic of all my dreams
This fire burns
I realize that nothing's as it seems
I dream of rain
I dream of gardens in the desert sand
I wake in vain
I dream of love as time runs through my hand

I dream of rain
I lift my gaze to empty skies above
I close my eyes
This rare perfume is the sweet intoxication of her love

[Cheb Mami]
Aman aman aman
Omry feek antia
Ma ghair antia
Ma ghair antia

[Verse 2: Sting]
I dream of rain
I dream of gardens in the desert sand
I wake in vain
I dream of love as time runs through my hand

Sweet desert rose
Each of her veils, a secret promise
This desert flower
No sweet perfume ever tortured me more than this
Sweet desert rose
This memory of Eden haunts us all
This desert flower
This rare perfume, is the sweet intoxication of the fall

[Outro: Cheb Mami]
Ya lili ah ya leel",59
Linkin Park,In the End,2000,"rock, metal","[Verse 1: Mike Shinoda &amp; Chester Bennington]
(It starts with one) One thing, I don't know why
It doesn't even matter how hard you try
Keep that in mind, I designed this rhyme
To explain in due time all I know
Time is a valuable thing
Watch it fly by as the pendulum swings
Watch it count down to the end of the day
The clock ticks life away, it's so unreal (It's so unreal)
Didn't look out below
Watch the time go right out the window
Tryin' to hold on, didn't even know
I wasted it all just to watch you go
I kept everything inside
And even though I tried, it all fell apart
What it meant to me will eventually be
A memory of a time when I tried so hard

[Chorus: Chester Bennington]
I tried so hard and got so far
But in the end it doesn't even matter
I had to fall to lose it all
But in the end it doesn't even matter

[Verse 2: Mike Shinoda &amp; Chester Bennington]
One thing, I don't know why
It doesn't even matter how hard you try
Keep that in mind, I designed this rhyme
To remind myself how I tried so hard
In spite of the way you were mockin' me
Actin' like I was part of your property
Rememberin' all the times you fought with me
I'm surprised it got so far
Things aren't the way they were before
You wouldn't even recognize me anymore
Not that you knew me back then
But it all comes back to me in the end
You kept everything inside
And even though I tried, it all fell apart
What it meant to me will eventually be
A memory of a time when I tried so hard
[Chorus: Chester Bennington]
<",92
Sonique,It Feels So Good,2000,pop,"[Verse 1]
You always make me smile
When I'm feeling down
You give me such a vibe
It's totally bonafide, mmm

[Verse 2]
It's not the way you walk
And it ain't the way you talk
It ain't the job you got
That keeps me satisfied

[Chorus]
Your love, it feels so good
And that's what takes me high
Higher than I've been before
Your love, it keeps me alive
Thought I should let you know
That your touch, it means so much
When I'm alone at night
It's you I'm always thinking of
Ooh, oh, baby

[Verse 2]
Ooh, I want you to understand
How I feel, yeah, deep inside
Oh-ho, you make me feel
What I need to feel, yes
In my heart
[Chorus]
Your love, it feels so good
And that's what takes me high
Higher than I've been before
Your love, it keeps me alive
Thought I should let you know
That your touch, it means so much
When I'm alone at night
It's you I'm always thinking of
Ooh, oh, baby

[Instrumental Break]

[Chorus]
Your love, it feels so good
And that's what takes me high
Higher than I've been before
Your love, it keeps me alive
Thought I should let you know
That your touch, it means so much
When I'm alone at night
It's you I'm always thinking of
Ooh, oh, baby (Your love, it feels so good)
And that's what takes me high
Higher than I've been before
Your love, it keeps me alive
Thought I should let you know
That your touch, it means so much
When I'm alone at night
It's you I'm always thinking of
Ooh, oh, baby (Your love, it feels so good)
And that's what takes me high
Higher than I've been before
Your love, it keeps me alive
Thought I should let you know
That your touch, it means so much
When I'm alone at night
It's you I'm always thinking of
Ooh, oh, baby",84
Darude,Sandstorm,2001,"pop, Dance/Electronic","[Verse]
Duuuuuuuuuuuuuuuuuuuuuuun
Dun dun dun dun dun dun dun dun dun dun dun dundun dun dundundun dun dun dun dun dun dun dundun dundun
BOOM
Dundun dundun dundun
BEEP
Dun dun dun dun dun
Dun dun
BEEP BEEP BEEP BEEP
BEEEP BEEP BEEP BEEP
BEEP BEEP BEEP BEEP BEEP BEEP BEEP BEEP BEEP BEEP BOOM
Daddaddadaddadadadadadadadadadaddadadadadadaddadadaddadadadadadadadadadadadaddadddadaddadadadd dadadadaddaddada
D
Dadadddaddadaddadadadddadadada
Nyu nyu nyu nyu nyu nnyu nyu nyu nyu nyu nyu nyu nyu nyu nyu nyu
Doo doo doo doo doo doo doo doo
Nnn nn nn nn nn nn n nn nnn nn nn nnn nnn nnnnnnnn
Dddddddd ddadadadadaddadadadadadaadadadadadad
BOOM
Nyu nyu nyu nyu nyu nyu
BOOM
BOOM BOOM BOOM BOOM
BOOM
Nyunyunyu nyu nyu nyu nyu nyu nyu nyu nyu nyu nyu
BOOM BOOM
BEEP BEEP
BEEP BEEP BEEP
Dadadadadada
Ddadad
BOOM BOOM
BEEP BEEP
BEEP BEEP BEEP BEEP BEEP BEEP BEEP BEEP BEEP BEEP BEEP BEEP BEEP BEEP BEEP
BOOM
(Unintelligible)
Ddudndundun dun dun dun dun dun dun dun dun dun dun dun dun dun dun dund
Dododododododododododododododododododododododododododododoodo
DRUM DRUM DRUM
Ddodododododoododododododododoodododododododo
Chi chichi chi chi chih
BOOOM
Chcihcihfkdhfdisjfkla
Dodododododododododododododododododododododododododododododododododoo
SCHEW
Dododododododoodododododododododododododo
Dadadadddudndundundudnudndundundunddunfudnundudnudnudndund
BOOM
FADE",73
Britney Spears,Born to Make You Happy,1999,pop,"[Intro]
Oh, my love
Oh, yeah, yeah
Oh, yeah

[Verse 1]
I'm sitting here alone up in my room
I'm thinking 'bout the times that we've been through, oh, my love
I'm looking at a picture in my hand
Trying my best to understand
I really wanna know what we did wrong
With a love that felt so strong

[Pre-Chorus]
If only you were here tonight
I know that we could make it right

[Chorus]
I don't know how to live without your love
I was born to make you happy
'Cause you're the only one up in my heart
I was born to make you happy
Always and forever, you and me
That's the way our life should be
I don't know how to live without your love
I was born to make you happy
[Verse 2]
I know I've been a fool since you've been gone
I'd better give it up and carry on, oh, my love
'Cause living in a dream of you and me
Is not the way my life should be
I don't wanna cry a tear for you
So forgive me if I do (Ooh)

[Pre-Chorus]
If only you were here tonight
I know that we could make it right

[Chorus]
I don't know how to live without your love
I was born to make you happy
'Cause you're the only one up in my heart
I was born to make you happy
Always and forever, you and me
That's the way our life should be
I don't know how to live without your love
I was born to make you happy

[Bridge]
(Oh yeah)
(Oh yeah)
I'd do anything
I'd give you my world
I'd wait forever to be your girl (Just call out my name)
Just call out my name (And I will be there) and I will be there (Ooh)
Just to show you how much I care (Alright, ooh)
I was born to make you happy, yeah (Ooh, ooh yeah)
[Chorus]
I don't know how to live without your love
I was born to make you happy
'Cause you're the only one up in my heart
I was born to make you happy
Always and forever, you and me
That's the way our life should be
I don't know how to live without your love
I was born to make you happy

[Outro]
I was born to make you happy
(Oh yeah, oh, oh yeah)
Always and forever, you and me
That's the way our life should be
I don't know how to live without your love
I was born to make you happy",63
Montell Jordan,Get It On Tonite,1999,"hip hop, pop, R&B","[Intro]
Oh, ooh wee oh, oh

[Verse 1]
When I'm lookin' at you
I keep thinkin'
Why can't she be like you?
So I'm schemin'
I can't go on like this
Believin' that her love is true, oh
Standing on the dance floor
While she trickin'
You are all I want girl
She's a chicken
We might be together
But love is missing
Girl I want you
So what can we do, oh

[Chorus]
Girl if it's alright
Let's go somewhere and get it on tonight
I've got a girl, but you look good tonight
It's one on one tonight, tonight
Girl if it's alright
Let's go somewhere and get it on tonight
You shouldn't have to be alone tonight
It's one on one tonight, tonight
[Verse 2]
Now she's lookin' at me
But keep talkin'
Oh, now she tryna ice you
Let's start walkin'
Over on the dance floor
It's her fault but
What can she do?
Tell me baby, yeah

[Bridge 1]
Girl if you're ready (I'm ready)
We can get it on (We can get it on)
I know where I went wrong
(She's where you went wrong)
With you is where I belong, belong

[Bridge 2]
Girl if I could find the words to say
I gotta get away from a love
That kills me everyday
I'd gladly say to you

[Chorus]
Girl if it's alright
Let's go somewhere and get it on tonight
I've got a girl, but you look good tonight
It's one on one tonight, tonight
Girl if it's alright
Let's go somewhere and get it on tonight
You shouldn't have to be alone tonight
It's one on one tonight, tonight
[Bridge 3]
My baby's stressin' me
You need to come with me
We need to go somewhere, yeah
Tonight, tonight

[Chorus]
Girl if it's alright
Let's go somewhere and get it on tonight
I've got a girl, but you look good tonight",62
Kylie Minogue,Spinning Around,2000,"pop, Dance/Electronic","[Intro]
Spinning around, spinning around
Oh

[Chorus]
I'm spinning around, move out of my way
I know you're feeling me 'cause you like it like this
I'm breaking it down, I'm not the same
I know you're feeling me 'cause you like it like this

[Verse 1]
Traded in my sorrow for some joy that I borrowed
From back in the day
Threw away my old clothes, got myself a better wardrobe
I got something to say
I'm through with the past, ain't no point in looking back
The future will be
And did I forget to mention that I found a new direction
And it leads back to me?

[Chorus]
I'm spinning around, move out of my way
I know you're feeling me 'cause you like it like this
I'm breaking it down, I'm not the same
I know you're feeling me 'cause you like it like this
[Verse 2]
The mistakes that I've made have given me the strength
To really believe
And no matter how I take it, there's no way I'm gonna fake it
'Cause it's gotta be real
I've got nothing left to hide, no reason left to fight
'Cause the truth's given me
A new freedom inside, getting rid of my desire
Do you like what you see?

[Chorus]
I'm spinning around, move out of my way
I know you're feeling me 'cause you like it like this
I'm breaking it down, I'm not the same
I know you're feeling me 'cause you like it like this (Ooh)

[Bridge]
Baby, baby, baby
You know you like it like this
Oh, baby, baby, baby
You know you like it like this
Oh, baby, baby, baby

[Chorus]
I'm spinning around, move out of my way
I know you're feeling me 'cause you like it like this
I'm breaking it down (I'm not the same)
I'm not the same (I know you feel me)
I know you're feeling me 'cause you like it like this
[Outro]
Feel me 'cause you like it like this, oh
I'm not the same
I know you like it like this, oh
Ooh yeah, like it like this, like it like this
I'm not the same, like it like this
I'm not the same, I'm not the same, oh",52
